Code,Name,Description,FormatType,FieldGroup
"THT.Quote - Ask Spread","Quote - Ask Spread","Basis point spread value calculated using the Ask yield.","Number","Quote"
"THT.Quote - Ask Yield","Quote - Ask Yield","Current or Best Ask Yield or Secondary Active Yield field.","Number","Quote"
"THT.Quote - Asset Swap Spread","Quote - Asset Swap Spread","Difference between the bond's native bid yield to maturity and the interest rate swap.","Number","Quote"
"THT.Quote - Asset Swap Spread Ask","Quote - Asset Swap Spread Ask","Asset Swap Spread Ask.","Number","Quote"
"THT.Quote - Asset Swap Spread Bid","Quote - Asset Swap Spread Bid","Asset Swap Spread Bid.","Number","Quote"
"THT.Quote - Background Reference","Quote - Background Reference","Pointer to a record holding background information relating to the record in which the pointer occurs.","Text","Quote"
"THT.Quote - Base Correlation","Quote - Base Correlation","Base Correction.","Number","Quote"
"THT.Quote - Basis Point Volatilty","Quote - Basis Point Volatilty","Change in price with a 1 basis point change in yield.","Number","Quote"
"THT.Quote - Bench Price","Quote - Bench Price","Benchmark price for crude oil.","Number","Quote"
"THT.Quote - Benchmark Spread","Quote - Benchmark Spread","Difference between the bond's yield and the yield of its benchmark.","Number","Quote"
"THT.Quote - Benchmark Spread Ask","Quote - Benchmark Spread Ask","Spread in basis points on ask side between the yield on a fixed income instrument and its nearest benchmark.","Number","Quote"
"THT.Quote - Benchmark Spread Bid","Quote - Benchmark Spread Bid","Spread in basis points on bid side between the yield on a fixed income instrument and its nearest benchmark.","Number","Quote"
"THT.Quote - Benchmark Yield","Quote - Benchmark Yield","Benchmark Bond Yield.","Number","Quote"
"THT.Quote - Bid Compound Yield","Quote - Bid Compound Yield","Bid Compound Yield.","Number","Quote"
"THT.Quote - Bid Dealer Count","Quote - Bid Dealer Count","Bid deal source numbers.","Number","Quote"
"THT.Quote - Bid Implied Volatility","Quote - Bid Implied Volatility","Expected bid volatility that the market is pricing into the option, where bid volatility is the measure of the rate and magnitude of the change in the underlying instrument's bid price.","Number","Quote"
"THT.Quote - Bid Market Maker ID","Quote - Bid Market Maker ID","Identifier indicating the market-maker on the bid side of the quote.","Text","Quote"
"THT.Quote - Bid Price","Quote - Bid Price","Current or Best Bid Price.","Number","Quote"
"THT.Quote - Bid Size","Quote - Bid Size","Aggregated volume at the Current or Best Bid Price.","Number","Quote"
"THT.Quote - Bid Spread","Quote - Bid Spread","Basis point spread value calculated using the Bid yield.","Number","Quote"
"THT.Quote - Bid Tick","Quote - Bid Tick","Indicates the trend of the bid price relative to the previous changed bid price; ^ indicates that the bid price is higher, while v indicates that the bid price is lower; while a blank field indicates no change.","Text","Quote"
"THT.Quote - Bid Yield","Quote - Bid Yield","Current or Best Ask Yield or Secondary Active Yield field.","Number","Quote"
"THT.Quote - Bond Floor","Quote - Bond Floor","Bond Floor Price for Convertible.","Number","Quote"
"THT.Quote - BPV","Quote - BPV","Average amount by which the mark-to-market value of an instrument changes when the entire yield curve is shifted up or down by 0.01%.","Number","Quote"
"THT.Quote - Breakeven Inflation","Quote - Breakeven Inflation","Rate the non-zero indexed bond will generate the same nominal return to maturity as the conventional bond.","Number","Quote"
"THT.Quote - Buyer ID","Quote - Buyer ID","Exchange identifier (for consolidated issues) or Market Maker ID of the Buyer.","Text","Quote"
"THT.Quote - Cap Premium","Quote - Cap Premium","Premium paid to receive money if the reference rate exceeds the strike level.","Number","Quote"
"THT.Quote - Carry Roll-down Total","Quote - Carry Roll-down Total","CRD Total.","Number","Quote"
"THT.Quote - CDS Dollar Value Of 1 Basis Point","Quote - CDS Dollar Value Of 1 Basis Point","Closest-to-maturity CDS Basis.","Number","Quote"
"THT.Quote - Closest-to-Maturity CDS Basis","Quote - Closest-to-Maturity CDS Basis","Closest-to-maturity CDS Basis.","Number","Quote"
"THT.Quote - Constant Maturity Yield","Quote - Constant Maturity Yield","Constant Maturity Yield.","Number","Quote"
"THT.Quote - Contributor Location Code","Quote - Contributor Location Code","Code indicating the location of the latest contributor: EOD = Official Close (updated T+1 5.00am GMT), TOK = Tokyo Same day Service update (3.30pm EST), LON = London Same day Service update (5.30pm EST) .","Text","Quote"
"THT.Quote - Conversion Factor","Quote - Conversion Factor","Value used to convert between weights and volumes.","Number","Quote"
"THT.Quote - Conversion Premium","Quote - Conversion Premium","Number of shares per nominal amount of bond.","Number"," "
"THT.Quote - Conversion Ratio","Quote - Conversion Ratio","Indicates positive/negative percent if the cost of converting into the share is above or below the current cost in the market.","Number"," "
"THT.Quote - Convexity","Quote - Convexity","Measure of the sensitivity of a bond's price to a change in yield. The calculation is derived from the difference between a straight line and a convex curve.","Number","Quote"
"THT.Quote - Convexity Bias","Quote - Convexity Bias","Difference in the convexity in the economic benefit of holding futures vs. forwards in a given underlier. When convexity bias exists, the result is a divergence in the prices of the respective futures and forwards.","Number","Quote"
"THT.Quote - Cost of Carry","Quote - Cost of Carry","Carry cost.","Number","Quote"
"THT.Quote - Crack","Quote - Crack","Difference between crude oil and oil products or between different oil products.","Number","Quote"
"THT.Quote - Date","Quote - Date","This is a local date transmitted with the first quote message of the day.","Date","Quote"
"THT.Quote - Dealing Code","Quote - Dealing Code","Description of the type of deal.","Text","Quote"
"THT.Quote - Default Probability","Quote - Default Probability","Percentage value indicating the likelihood the issuer will default on its debt obligations.","Number","Quote"
"THT.Quote - Delta","Quote - Delta","Rate of change of the price of the instrument relative to the price of the underlying asset.","Number","Quote"
"THT.Quote - Discount Ask","Quote - Discount Ask","Best Ask Discount value.","Number","Quote"
"THT.Quote - Discount Bid","Quote - Discount Bid","Best Bid Discount value.","Number","Quote"
"THT.Quote - Discount Factor","Quote - Discount Factor","Discount Factor.","Number","Quote"
"THT.Quote - Discount Margin","Quote - Discount Margin","Discount Margin is a measure of return from a FRN relative to that from its index rate e.g. LIBOR calculated by discounting future cash flows on a money market basis.","Number","Quote"
"THT.Quote - Discount Margin Ask","Quote - Discount Margin Ask","Margin sell position.","Number","Quote"
"THT.Quote - Discount Margin Bid","Quote - Discount Margin Bid","Margin buy position.","Number","Quote"
"THT.Quote - Discount Rate","Quote - Discount Rate","Discount rate.","Number","Quote"
"THT.Quote - Display Name","Quote - Display Name","Full or abbreviated text instrument name.","Text","Quote"
"THT.Quote - Duration","Quote - Duration","Weighted measure of the length of time the bond will pay out.","Number","Quote"
"THT.Quote - Edge","Quote - Edge","Percentage of stock that can be converted.","Number","Quote"
"THT.Quote - Effective Convexity","Quote - Effective Convexity","Simulated measure of convexity.","Number","Quote"
"THT.Quote - Effective Duration","Quote - Effective Duration","Simulated measure of duration which measures change in price given change in rates.","Number","Quote"
"THT.Quote - Exchange Time","Quote - Exchange Time","Exchange supplied quotation time (Local or GMT depending on the exchange); time may be in milliseconds, seconds or minute granularity.","Text","Quote"
"THT.Quote - Exchange/Contributor ID","Quote - Exchange/Contributor ID","For Consolidated Issues - the exchange identifier where the instrument was last traded.","Text","Quote"
"THT.Quote - Fair Price","Quote - Fair Price","Fair Price for Convertible Bond.","Number","Quote"
"THT.Quote - Fair Value Accuracy Measure","Quote - Fair Value Accuracy Measure","Deviation of Fair Value Score, measure of score consistency.","Number","Quote"
"THT.Quote - Fair Value Consistency Score","Quote - Fair Value Consistency Score","Measure of accuracy of fair value with last trade price.","Number","Quote"
"THT.Quote - Fair Value DV01","Quote - Fair Value DV01","Calculated Fair Value bond valuation showing the dollar value of a one basis point change in interest rates.","Number","Quote"
"THT.Quote - Fair Value Spread","Quote - Fair Value Spread","Calculated Fair Value Spread between bond the security and reference/benchmark asset.","Number","Quote"
"THT.Quote - Fair Value Yield","Quote - Fair Value Yield","Calculated Fair Value Yield.","Number","Quote"
"THT.Quote - Far Clearing Price","Quote - Far Clearing Price","Far price level at which buy and sell orders may match during an auction period. Populated during order imbalances.","Number","Quote"
"THT.Quote - Fixed Coupon","Quote - Fixed Coupon","Fixed Coupon.","Number","Quote"
"THT.Quote - Fixing Date","Quote - Fixing Date","Date on which the fixing occurs.","Date","Quote"
"THT.Quote - Fixing Value","Quote - Fixing Value","Fixing Price.","Number","Quote"
"THT.Quote - Floor Premium","Quote - Floor Premium","Premium paid to receive money if the reference rate does not reach the strike level.","Number","Quote"
"THT.Quote - Forecast Average Swap Points","Quote - Forecast Average Swap Points","Forecast Average Swap Points.","Number","Quote"
"THT.Quote - Forecast High","Quote - Forecast High","Highest of all the forecasts received by Refinitiv from market participants for an economic indicator.","Number","Quote"
"THT.Quote - Forecast Low","Quote - Forecast Low","Lowest of all the forecasts received by Refinitiv from market participants for an economic indicator.","Number","Quote"
"THT.Quote - Forecast Mean","Quote - Forecast Mean","Arithmetic mean of forecasts.","Number","Quote"
"THT.Quote - Forecast Median","Quote - Forecast Median","Median value of forecasts.","Number","Quote"
"THT.Quote - Forecast Standard Deviation","Quote - Forecast Standard Deviation","Forecast Standard Deviation.","Number","Quote"
"THT.Quote - Forward Future Risk","Quote - Forward Future Risk","Forward risk.","Number","Quote"
"THT.Quote - Forward Outright Ask","Quote - Forward Outright Ask","Forward securities buy price.","Number","Quote"
"THT.Quote - Forward Outright Bid","Quote - Forward Outright Bid","Forward securities sell price.","Number","Quote"
"THT.Quote - Forward Rate","Quote - Forward Rate","Underlying swap rate starting forward at the expiry of the option, based on today's curve and maturing at the swaption maturity.","Number","Quote"
"THT.Quote - Freight Price","Quote - Freight Price","Price at which a certain cargo is delivered from one point to another.","Number","Quote"
"THT.Quote - Futures Basis","Quote - Futures Basis","Basis of the deliverable bond.","Number","Quote"
"THT.Quote - Futures Risk","Quote - Futures Risk","Forward risk.","Number","Quote"
"THT.Quote - Gamma","Quote - Gamma","Measure of how fast delta changes, given a unit change in the underlying price.","Number","Quote"
"THT.Quote - Gross Basis","Quote - Gross Basis","Gross basis describes the relationship between cash and futures prices.","Number","Quote"
"THT.Quote - Halt Reason","Quote - Halt Reason","Reason a security is halted or suspended.","Text","Quote"
"THT.Quote - Hedge Ratio","Quote - Hedge Ratio","Hedge Ratio number of Futures/CDS contracts required to buy or sell so as to provide the maximum offset of risk.","Number","Quote"
"THT.Quote - High","Quote - High","Instrument's highest price for the trading day.","Number","Quote"
"THT.Quote - High Yield","Quote - High Yield","Day's highest yield. This is cleared during the pre-market clear.","Number","Quote"
"THT.Quote - Imbalance Activity Type","Quote - Imbalance Activity Type","Descriptive detail of order imbalance type.","Text","Quote"
"THT.Quote - Imbalance Quantity","Quote - Imbalance Quantity","Number of shares not paired at the current reference price.","Number","Quote"
"THT.Quote - Imbalance Side","Quote - Imbalance Side","Market side (buy or sell) of the order imbalance.","Text","Quote"
"THT.Quote - Imbalance Variation Indicator","Quote - Imbalance Variation Indicator","Imbalance price variance indicator - the percentage of how far the near indicative clearing price is from the current reference price by calculating the absolute value of the percentage of deviation of the near indicative clearing price to the current.","Text","Quote"
"THT.Quote - Implied Correlation","Quote - Implied Correlation","Implied Correlation.","Number","Quote"
"THT.Quote - Implied Repo Rate","Quote - Implied Repo Rate","Implied Repo Rate.","Number","Quote"
"THT.Quote - Implied Volatility","Quote - Implied Volatility","Expected volatility that the market is pricing into the option, where volatility is the measure of the rate and magnitude of the change in the underlying instrument's price.","Number","Quote"
"THT.Quote - Implied Yield","Quote - Implied Yield","Futures Implied Yield.","Number","Quote"
"THT.Quote - Index Skew","Quote - Index Skew","For CDS indices. The difference between the price of the index CDS traded in the market and the fair value of the index.","Number","Quote"
"THT.Quote - Interpolated CDS Basis","Quote - Interpolated CDS Basis","Interpolated CDS Spread - Asset Swap Spread (or equivalent).","Number","Quote"
"THT.Quote - Interpolated CDS Spread","Quote - Interpolated CDS Spread","Interpolated CDS spread taking the difference of the yield to maturity of the underlying bond against the interpolated yield of the same maturity on the CDS reference curve.","Number","Quote"
"THT.Quote - Invoice Price","Quote - Invoice Price","Price that the buyer of a futures contract pays the seller when a bond is delivered. Invoice price is future price multiply with CTD conversion factor.","Number","Quote"
"THT.Quote - Invoice Spread","Quote - Invoice Spread","Invoice spreads are asset swaps using the bond futures instead of bonds. The spread is based on a forward starting swap (from delivery date) ending at the CTD bond maturity date and the implied yield, displaying in basis point format.","Number","Quote"
"THT.Quote - ISIN","Quote - ISIN","International Security Identification Number code (ISIN).","Text","Quote"
"THT.Quote - ISMA Ask Yield","Quote - ISMA Ask Yield","Current or Best Bid Yield or Primary Active Yield field.","Number","Quote"
"THT.Quote - ISMA Bid Yield","Quote - ISMA Bid Yield","Current or Best Ask Yield or Secondary Active Yield field.","Number","Quote"
"THT.Quote - Level-Up Level-Down Indicator","Quote - Level-Up Level-Down Indicator","Native code for the upper and lower price limit calculation.","Text","Quote"
"THT.Quote - Low","Quote - Low","Instrument's official low price for the trading day.","Number","Quote"
"THT.Quote - Low Yield","Quote - Low Yield","Instrument's lowest yield for the trading day.","Number","Quote"
"THT.Quote - Lower Limit Price","Quote - Lower Limit Price","Low end of a price band on stocks precluding execution of most trades at prices outside the band and trading pause in the stock when no trades have been executed within the price band for a specified period.","Number","Quote"
"THT.Quote - Mean Reversion","Quote - Mean Reversion","Mean Reversion.","Number","Quote"
"THT.Quote - Mid Price","Quote - Mid Price","Mid Price.","Number","Quote"
"THT.Quote - Mid Spread","Quote - Mid Spread","Difference in basis point using a mid yield value.","Number","Quote"
"THT.Quote - Mid Yield","Quote - Mid Yield","Mid Yield.","Number","Quote"
"THT.Quote - Modified Duration","Quote - Modified Duration","Modified duration is a measurement of change in the value of a bond to a change in interest rates; it determines the effect a 100 basis point (1%) change in interest rates will have on the price of the bond.","Number","Quote"
"THT.Quote - Near Clearing Price","Quote - Near Clearing Price","Near Indicative Clearing Price, or the near crossing price at which orders in the opening/closing book and continuous book clear against each other. Populated during order imbalances.","Number","Quote"
"THT.Quote - Net Basis","Quote - Net Basis","Basis amount that results from adjusting the gross basis for net carry/cost of carry.","Number","Quote"
"THT.Quote - Net Change","Quote - Net Change","Difference between the latest trading price or value and the adjusted historical closing value or settlement price.","Number","Quote"
"THT.Quote - Number of Buyers","Quote - Number of Buyers","Number of market makers at the Current or Best Bid Price.","Number","Quote"
"THT.Quote - Number of Sellers","Quote - Number of Sellers","Number of market makers at the Current or Best Ask Price.","Number","Quote"
"THT.Quote - Open","Quote - Open","Instrument's first price for the trading day.","Number","Quote"
"THT.Quote - Open Yield","Quote - Open Yield","Opening yield of the day for Japanese instruments cleared during the pre-market clear.","Number","Quote"
"THT.Quote - Option Adjusted Spread","Quote - Option Adjusted Spread","Option-adjusted spread.","Number","Quote"
"THT.Quote - Option Adjusted Spread Ask","Quote - Option Adjusted Spread Ask","Option Adjusted Spread Ask.","Number","Quote"
"THT.Quote - Option Adjusted Spread Bid","Quote - Option Adjusted Spread Bid","Option Adjusted Spread Bid.","Number","Quote"
"THT.Quote - Paired Quantity","Quote - Paired Quantity","Total number of shares that are eligible to be matched at the current reference price.","Number","Quote"
"THT.Quote - Par Yield","Quote - Par Yield","Calculated yield value when theoretically the price of the instrument always equals the Par amount (e.g. 100).","Number","Quote"
"THT.Quote - Parity","Quote - Parity","Price at which a convertible instrument must sell for it to equal the current shares to be received upon conversion.","Number","Quote"
"THT.Quote - Percentage Daily Return","Quote - Percentage Daily Return","Daily total return.","Number","Quote"
"THT.Quote - Premium","Quote - Premium","For warrants and convertible securities the premium over or discount to the converted security price that the current price implies taking into account the conversion rate and the rate of exchange where appropriate.","Number","Quote"
"THT.Quote - Present Value of Basis Point","Quote - Present Value of Basis Point","Change in price with a 1 basis point change in yield.","Number","Quote"
"THT.Quote - Price","Quote - Price","Last traded price.","Number","Quote"
"THT.Quote - Qualifiers","Quote - Qualifiers","Trade qualifiers or market condition indicator; See Qualifiers for more details.","Text","Quote"
"THT.Quote - Real Yield Ask","Quote - Real Yield Ask","Real ask yield is the annualized rate of return earned by holding an inflation linked security to maturity in addition to a compensation for inflation.","Number","Quote"
"THT.Quote - Real Yield Bid","Quote - Real Yield Bid","Real bid yield is the annualized rate of return earned by holding an inflation linked security to maturity in addition to a compensation for inflation.","Number","Quote"
"THT.Quote - Recovery Rate","Quote - Recovery Rate","Percentage of principal that could be recovered following a credit event.","Number","Quote"
"THT.Quote - Reference Bond Yield","Quote - Reference Bond Yield","Simple yield of reference bond.","Number","Quote"
"THT.Quote - Reference Price","Quote - Reference Price","Comparative value used by the SIX Swiss Exchange for calculating opening price, delayed opening or stop trading. During continuous trading, it is the last-paid price, and in the pre-opening it is the closing price of the previous trading day.","Number","Quote"
"THT.Quote - Reserve Vol","Quote - Reserve Vol","Reserve Vol.","Number","Quote"
"THT.Quote - Rho","Quote - Rho","Measures the sensitivity of the option price relative to interest rates.","Number","Quote"
"THT.Quote - Roll-down","Quote - Roll-down","Roll-down.","Number","Quote"
"THT.Quote - Running Spread","Quote - Running Spread","Running Spread for upfront quotes.","Number","Quote"
"THT.Quote - Seller ID","Quote - Seller ID","Exchange identifier (for consolidated issues) or Market Maker ID of the Seller.","Text","Quote"
"THT.Quote - Sequence Number","Quote - Sequence Number","An exchange derived sequence number associated with the trade (applicable to US markets).","Number","Quote"
"THT.Quote - Short Rate Volatility","Quote - Short Rate Volatility","Short Rate Volatility.","Number","Quote"
"THT.Quote - Short Sale Restriction Indicator","Quote - Short Sale Restriction Indicator","Code indicating the instrument's Short Sale Restriction status; Applicable for most North American equities.","Text","Quote"
"THT.Quote - Simple Margin","Quote - Simple Margin","Average cash return per annum on the FRN through out its life relative to its index.","Number","Quote"
"THT.Quote - Source Reference","Quote - Source Reference","Uniquely identifies the deal. For a dealing conversation it is the conversation number.","Text","Quote"
"THT.Quote - Sovereign Spread","Quote - Sovereign Spread","Sovereign Spread.","Number","Quote"
"THT.Quote - Spread to Treasury","Quote - Spread to Treasury","Spread calculated with average yield against Treasury yield, where the average yield is the days average and TSY yield is sourced from UST CURVE.","Number","Quote"
"THT.Quote - Strike","Quote - Strike","Price at which the holder agrees to buy or sell the underlying futures contract on or before the option expiration date.","Number","Quote"
"THT.Quote - Swap Point","Quote - Swap Point","Strike at which the swaption is based.","Number","Quote"
"THT.Quote - Swap Premium","Quote - Swap Premium","Swap Premium.","Number","Quote"
"THT.Quote - Swap Rate","Quote - Swap Rate","Rate at which a Swap rate was agreed. It may contain plus signs and/or spaces.","Number","Quote"
"THT.Quote - Swap Spread","Quote - Swap Spread","Difference between the bond's yield and the LIBOR curve, expressed in basis points.","Number","Quote"
"THT.Quote - Swap Spread Ask","Quote - Swap Spread Ask","Spread in basis points on ask side between the assets compared in the swap deal.","Number","Quote"
"THT.Quote - Swap Spread Bid","Quote - Swap Spread Bid","Spread in basis points on bid side between the assets compared in the swap deal.","Number","Quote"
"THT.Quote - Swap Yield","Quote - Swap Yield","Swap Yield.","Number","Quote"
"THT.Quote - Theoretical Price","Quote - Theoretical Price","Theoretical price.","Number","Quote"
"THT.Quote - Theoretical Price Ask","Quote - Theoretical Price Ask","Theoretical Ask Price.","Number","Quote"
"THT.Quote - Theoretical Price Bid","Quote - Theoretical Price Bid","Theoretical Bid Price.","Number","Quote"
"THT.Quote - Theoretical Price Mid","Quote - Theoretical Price Mid","Theoretical Mid Price.","Number","Quote"
"THT.Quote - Theoretical Spread Ask","Quote - Theoretical Spread Ask","Theoretical Spread Ask.","Number","Quote"
"THT.Quote - Theoretical Spread Bid","Quote - Theoretical Spread Bid","Theoretical Spread Bid.","Number","Quote"
"THT.Quote - Theoretical Spread Mid","Quote - Theoretical Spread Mid","Theoretical Spread Mid.","Number","Quote"
"THT.Quote - Theta","Quote - Theta","Ratio of the change in an option's price to the decrease in its time to expiration as derived in-house by levant options model.","Number","Quote"
"THT.Quote - Top","Quote - Top","Best value for the good.","Number","Quote"
"THT.Quote - Trading Status","Quote - Trading Status","1=active; 0=delisted.","Number","Quote"
"THT.Quote - Unique Quote Identification","Quote - Unique Quote Identification","The identifier of a quote as represented on the native feed.","Text","Quote"
"THT.Quote - Upper Limit Price","Quote - Upper Limit Price","High end of a price band on stocks precluding execution of most trades at prices outside the band and trading pause in the stock when no trades have been executed within the price band for a specified period.","Number","Quote"
"THT.Quote - Vega","Quote - Vega","Measures the sensitivity of an option price relative to the volatility of the underlying asset.","Number","Quote"
"THT.Quote - Volatility","Quote - Volatility","Degree the security's price or yield is expected to rise or fall sharply within the short term.","Number","Quote"
